title,url,ranking
Jesus and the woman taken in adultery,https://en.wikipedia.org/wiki/Jesus_and_the_woman_taken_in_adultery,1
Gospel of Mark,https://en.wikipedia.org/wiki/Gospel_of_Mark,2
Lord's Prayer,https://en.wikipedia.org/wiki/Lord%27s_Prayer,3
Gospel of John,https://en.wikipedia.org/wiki/Gospel_of_John,4
Gospel of Luke,https://en.wikipedia.org/wiki/Gospel_of_Luke,5
Nativity of Jesus,https://en.wikipedia.org/wiki/Nativity_of_Jesus,6
Emmaus,https://en.wikipedia.org/wiki/Emmaus,7
Saint Joseph,https://en.wikipedia.org/wiki/Saint_Joseph,8
Gospel of Matthew,https://en.wikipedia.org/wiki/Gospel_of_Matthew,9
Mary - mother of Jesus,https://en.wikipedia.org/wiki/Mary%2C_mother_of_Jesus,10
Chronology of Jesus,https://en.wikipedia.org/wiki/Chronology_of_Jesus,11
James - brother of Jesus,https://en.wikipedia.org/wiki/James%2C_brother_of_Jesus,12
Josephus on Jesus,https://en.wikipedia.org/wiki/Josephus_on_Jesus,13
Turning the other cheek,https://en.wikipedia.org/wiki/Turning_the_other_cheek,14
Exorcism of the Gerasene demoniac,https://en.wikipedia.org/wiki/Exorcism_of_the_Gerasene_demoniac,15
Nicodemus,https://en.wikipedia.org/wiki/Nicodemus,16
Census of Quirinius,https://en.wikipedia.org/wiki/Census_of_Quirinius,17
Rich man and Lazarus,https://en.wikipedia.org/wiki/Rich_man_and_Lazarus,18
Saint Peter,https://en.wikipedia.org/wiki/Saint_Peter,19
Jerusalem,https://en.wikipedia.org/wiki/Jerusalem,20
Nazareth,https://en.wikipedia.org/wiki/Nazareth,21
Rylands Library Papyrus P52,https://en.wikipedia.org/wiki/Rylands_Library_Papyrus_P52,22
Bethany,https://en.wikipedia.org/wiki/Bethany,23
Crucifixion darkness,https://en.wikipedia.org/wiki/Crucifixion_darkness,24
Pontius Pilate,https://en.wikipedia.org/wiki/Pontius_Pilate,25
Cana,https://en.wikipedia.org/wiki/Cana,26
Crucifixion of Jesus,https://en.wikipedia.org/wiki/Crucifixion_of_Jesus,27
Genealogy of Jesus,https://en.wikipedia.org/wiki/Genealogy_of_Jesus,28
Resurrection of Jesus,https://en.wikipedia.org/wiki/Resurrection_of_Jesus,29
Parable of the Good Samaritan,https://en.wikipedia.org/wiki/Parable_of_the_Good_Samaritan,30
Calvary,https://en.wikipedia.org/wiki/Calvary,31
Jesus preaches in a ship,https://en.wikipedia.org/wiki/Jesus_preaches_in_a_ship,32
Date of the birth of Jesus,https://en.wikipedia.org/wiki/Date_of_the_birth_of_Jesus,33
Gospel of Judas,https://en.wikipedia.org/wiki/Gospel_of_Judas,34
Judas Iscariot,https://en.wikipedia.org/wiki/Judas_Iscariot,35
Temptation of Christ,https://en.wikipedia.org/wiki/Temptation_of_Christ,36
Lazarus of Bethany,https://en.wikipedia.org/wiki/Lazarus_of_Bethany,37
Raising of Lazarus,https://en.wikipedia.org/wiki/Raising_of_Lazarus,38
Raising of Jairus' daughter,https://en.wikipedia.org/wiki/Raising_of_Jairus%27_daughter,39
Brothers of Jesus,https://en.wikipedia.org/wiki/Brothers_of_Jesus,40
Bethsaida,https://en.wikipedia.org/wiki/Bethsaida,41
Parable of the Talents,https://en.wikipedia.org/wiki/Parable_of_the_Talents,42
Penitent thief,https://en.wikipedia.org/wiki/Penitent_thief,43
Bread of Life Discourse,https://en.wikipedia.org/wiki/Bread_of_Life_Discourse,44
Sermon on the Mount,https://en.wikipedia.org/wiki/Sermon_on_the_Mount,45
Martha,https://en.wikipedia.org/wiki/Martha,46
Thirty pieces of silver,https://en.wikipedia.org/wiki/Thirty_pieces_of_silver,47
List of gospels,https://en.wikipedia.org/wiki/List_of_gospels,48
John the Baptist,https://en.wikipedia.org/wiki/John_the_Baptist,49
Disciple whom Jesus loved,https://en.wikipedia.org/wiki/Disciple_whom_Jesus_loved,50
Jesus at the home of Martha and Mary,https://en.wikipedia.org/wiki/Jesus_at_the_home_of_Martha_and_Mary,51
Parable of the Prodigal Son,https://en.wikipedia.org/wiki/Parable_of_the_Prodigal_Son,52
